
Entidad,Año,Total,Mujeres,Hombres ,%_mujeres,%_hombres
Aguascalientes ,2019,27,14,13,51.9,48.1
Baja California ,2019,25,9,16,36.0,64.0
Baja California Sur ,2019,21,12,9,57.1,42.9
Campeche ,2019,35,18,17,51.4,48.6
Chiapas ,2019,41,27,14,65.9,34.1
Chihuahua ,2019,33,15,18,45.5,54.5
Ciudad De México,2019,66,33,33,50.0,50.0
Coahuila De Zaragoza ,2019,25,14,11,56.0,44.0
Colima ,2019,25,14,11,56.0,44.0
Durango,2019,25,11,14,44.0,56.0
Estado De México ,2019,75,37,38,49.3,50.7
Guanajuato,2019,36,18,18,50.0,50.0
Guerrero ,2019,46,19,27,41.3,58.7
Hidalgo ,2019,30,16,14,53.3,46.7
Jalisco ,2019,39,16,23,41.0,59.0
Michoacán ,2019,40,16,24,40.0,60.0
Morelos ,2019,30,21,9,70.0,30.0
Nayarit ,2019,30,11,19,36.7,63.3
Nuevo León ,2019,42,21,21,50.0,50.0
Oaxaca ,2019,42,23,19,54.8,45.2
Puebla ,2019,41,19,22,46.3,53.7
Querétaro ,2019,25,13,12,52.0,48.0
Quintana Roo ,2019,25,11,14,44.0,56.0
San Luis Potosí ,2019,28,13,15,46.4,53.6
Sinaloa,2019,40,19,21,47.5,52.5
Sonora ,2019,33,14,19,42.4,57.6
Tabasco ,2019,35,18,17,51.4,48.6
Tamaulipas ,2019,36,16,20,44.4,55.6
Tlaxcala ,2019,25,15,10,60.0,40.0
Veracruz ,2019,50,25,25,50.0,50.0
Yucatán,2019,25,12,13,48.0,52.0
Zacatecas,2019,30,14,16,46.7,53.3
