
﻿Estado,Fecha,Mujeres,Hombres
Nacional,2010,247,890
Aguascalientes,2010,5,22
Baja California,2010,5,20
Baja California Sur,2010,6,15
Campeche,2010,12,23
Coahuila,2010,6,25
Colima,2010,5,20
Chiapas,2010,7,33
Chihuahua,2010,6,27
Distrito Federal,2010,18,48
Durango,2010,5,25
Guanajuato,2010,10,26
Guerrero,2010,8,38
Hidalgo,2010,8,22
Jalisco,2010,8,31
México,2010,11,64
Michoacán,2010,5,35
Morelos,2010,9,21
Nayarit,2010,3,27
Nuevo León,2010,11,31
Oaxaca,2010,9,33
Puebla,2010,13,28
Querétaro,2010,4,20
Quintana Roo,2010,6,19
San Luis Potosí,2010,6,21
Sinaloa,2010,9,31
Sonora,2010,7,26
Tabasco,2010,7,28
Tamaulipas,2010,10,22
Tlaxcala,2010,5,27
Veracruz,2010,9,41
Yucatán,2010,8,17
Zacatecas,2010,6,24
Nacional,2011,255,885
Aguascalientes,2011,2,25
Baja California,2011,7,18
Baja California Sur,2011,6,15
Campeche,2011,12,23
Coahuila,2011,6,25
Colima,2011,5,20
Chiapas,2011,14,26
Chihuahua,2011,7,26
Distrito Federal,2011,18,48
Durango,2011,5,25
Guanajuato,2011,10,26
Guerrero,2011,6,40
Hidalgo,2011,7,23
Jalisco,2011,8,31
México,2011,10,65
Michoacán,2011,5,35
Morelos,2011,9,21
Nayarit,2011,3,27
Nuevo León,2011,11,31
Oaxaca,2011,15,27
Puebla,2011,7,34
Querétaro,2011,5,19
Quintana Roo,2011,6,19
San Luis Potosí,2011,6,21
Sinaloa,2011,6,34
Sonora,2011,6,27
Tabasco,2011,7,28
Tamaulipas,2011,11,25
Tlaxcala,2011,6,26
Veracruz,2011,15,35
Yucatán,2011,5,20
Zacatecas,2011,9,20
Nacional,2012,261,880
Aguascalientes,2012,2,25
Baja California,2012,8,17
Baja California Sur,2012,6,15
Campeche,2012,12,23
Coahuila,2012,6,24
Colima,2012,7,19
Chiapas,2012,13,28
Chihuahua,2012,7,26
Distrito Federal,2012,18,48
Durango,2012,5,25
Guanajuato,2012,10,26
Guerrero,2012,7,39
Hidalgo,2012,7,23
Jalisco,2012,8,31
México,2012,11,64
Michoacán,2012,5,35
Morelos,2012,9,21
Nayarit,2012,3,27
Nuevo León,2012,11,31
Oaxaca,2012,15,27
Puebla,2012,7,34
Querétaro,2012,5,19
Quintana Roo,2012,6,19
San Luis Potosí,2012,6,21
Sinaloa,2012,6,34
Sonora,2012,7,26
Tabasco,2012,7,28
Tamaulipas,2012,11,25
Tlaxcala,2012,6,26
Veracruz,2012,15,35
Yucatán,2012,6,19
Zacatecas,2012,9,20
Nacional,2013,297,876
Aguascalientes,2013,2,25
Baja California,2013,8,17
Baja California Sur,2013,6,15
Campeche,2013,12,23
Coahuila,2013,6,24
Colima,2013,7,19
Chiapas,2013,13,28
Chihuahua,2013,13,20
Distrito Federal,2013,18,48
Durango,2013,5,25
Guanajuato,2013,7,29
Guerrero,2013,9,37
Hidalgo,2013,7,23
Jalisco,2013,9,33
México,2013,13,62
Michoacán,2013,9,32
Morelos,2013,7,23
Nayarit,2013,14,16
Nuevo León,2013,4,23
Oaxaca,2013,16,26
Puebla,2013,17,65
Querétaro,2013,2,23
Quintana Roo,2013,9,16
San Luis Potosí,2013,5,22
Sinaloa,2013,7,33
Sonora,2013,7,26
Tabasco,2013,15,20
Tamaulipas,2013,12,24
Tlaxcala,2013,6,26
Veracruz,2013,15,35
Yucatán,2013,6,19
Zacatecas,2013,11,19
Nacional,2014,306,866
Aguascalientes,2014,8,19
Baja California,2014,8,17
Baja California Sur,2014,6,15
Campeche,2014,12,23
Coahuila,2014,6,24
Colima,2014,7,19
Chiapas,2014,13,28
Chihuahua,2014,13,20
Distrito Federal,2014,22,44
Durango,2014,5,25
Guanajuato,2014,7,29
Guerrero,2014,9,37
Hidalgo,2014,7,23
Jalisco,2014,9,33
México,2014,13,62
Michoacán,2014,9,32
Morelos,2014,7,23
Nayarit,2014,14,16
Nuevo León,2014,4,23
Oaxaca,2014,15,26
Puebla,2014,17,65
Querétaro,2014,2,23
Quintana Roo,2014,9,16
San Luis Potosí,2014,5,22
Sinaloa,2014,7,33
Sonora,2014,7,26
Tabasco,2014,15,20
Tamaulipas,2014,12,24
Tlaxcala,2014,9,23
Veracruz,2014,12,38
Yucatán,2014,6,19
Zacatecas,2014,11,19
