
Entidad ,Fecha,Tasa por cada cien mil mujeres
Nacional,1990,2.89
Aguascalientes,1990,0.72
Baja California,1990,3.48
Baja California Sur,1990,0
Campeche,1990,2.55
Coahuila de Zaragoza,1990,0.5
Colima,1990,0.86
Chiapas,1990,1.7
Chihuahua,1990,1.69
Ciudad de México,1990,3.13
Durango,1990,1.17
Guanajuato,1990,1
Guerrero,1990,1.42
Hidalgo,1990,2.43
Jalisco,1990,1.57
México,1990,9.34
Michoacán de Ocampo,1990,2.3
Morelos,1990,2.3
Nayarit,1990,2.91
Nuevo León,1990,0.5
Oaxaca,1990,5.94
Puebla,1990,2.58
Querétaro,1990,0.63
Quintana Roo,1990,0.37
San Luis Potosí,1990,0.55
Sinaloa,1990,3.11
Sonora,1990,2.2
Tabasco,1990,1.22
Tamaulipas,1990,1.6
Tlaxcala,1990,1.2
Veracruz de Ignacio de la Llave,1990,1.53
Yucatán,1990,0.97
Zacatecas,1990,2.79
Nacional,1991,2.9
Aguascalientes,1991,1.65
Baja California,1991,2.28
Baja California Sur,1991,3.04
Campeche,1991,2.48
Coahuila de Zaragoza,1991,0.69
Colima,1991,3.8
Chiapas,1991,3.66
Chihuahua,1991,1.73
Ciudad de México,1991,2.19
Durango,1991,2.9
Guanajuato,1991,0.73
Guerrero,1991,1.87
Hidalgo,1991,1.33
Jalisco,1991,2.16
México,1991,9.1
Michoacán de Ocampo,1991,3.48
Morelos,1991,2.81
Nayarit,1991,2.63
Nuevo León,1991,0.61
Oaxaca,1991,4.87
Puebla,1991,1.97
Querétaro,1991,1.08
Quintana Roo,1991,1.38
San Luis Potosí,1991,1.09
Sinaloa,1991,2.25
Sonora,1991,1.94
Tabasco,1991,2.39
Tamaulipas,1991,2
Tlaxcala,1991,0.94
Veracruz de Ignacio de la Llave,1991,1.83
Yucatán,1991,0.27
Zacatecas,1991,0.87
Nacional,1992,3.06
Aguascalientes,1992,0.46
Baja California,1992,3.49
Baja California Sur,1992,0
Campeche,1992,2.75
Coahuila de Zaragoza,1992,1.35
Colima,1992,2.89
Chiapas,1992,3.16
Chihuahua,1992,2.17
Ciudad de México,1992,2.62
Durango,1992,2.01
Guanajuato,1992,1.01
Guerrero,1992,2.91
Hidalgo,1992,1.14
Jalisco,1992,2.22
México,1992,8.9
Michoacán de Ocampo,1992,2.75
Morelos,1992,3.04
Nayarit,1992,3.77
Nuevo León,1992,0.95
Oaxaca,1992,5.68
Puebla,1992,2.15
Querétaro,1992,1.51
Quintana Roo,1992,2.94
San Luis Potosí,1992,1.16
Sinaloa,1992,3.1
Sonora,1992,2.21
Tabasco,1992,1.28
Tamaulipas,1992,1.62
Tlaxcala,1992,1.37
Veracruz de Ignacio de la Llave,1992,1.95
Yucatán,1992,0.8
Zacatecas,1992,1.74
Nacional,1993,2.96
Aguascalientes,1993,0.67
Baja California,1993,2.92
Baja California Sur,1993,1.13
Campeche,1993,1.67
Coahuila de Zaragoza,1993,0.85
Colima,1993,2.43
Chiapas,1993,2.75
Chihuahua,1993,1.89
Ciudad de México,1993,2.37
Durango,1993,1.84
Guanajuato,1993,1.41
